District,Taluka,Infant Mortality Rate,Normalized IMR,Maternal Mortality Rate,Normalized MMR,ANC_IMR,ANC_MMR,Stress (ANC-20%),Stress (ANC+20%)
Mandya,Nagamangala,7.16,0.9260805677,45.88462491,0.849772316,5.13,1.5136,0.1519631487,0.1532207446
Mysuru,Nanjangud,7.16,0.9260805677,283.7217462,0,4.32,8.9865,0.8314857054,0.8333612048
Gadag,Naragund,28.02,0.7105253001,96.80334423,0.6678439534,21.52,11.3184,0.008638203104,0.01101790891
Chikkamagaluru,Narasimharajapura,12.67,0.8691210052,13.66835765,0.9648783679,15.48,5.9539,0.1118973324,0.1139247649
Dharwad,Navalgund,47.43,0.5100072464,87.56829406,0.700840022,8.38,4.3136,0.1737991569,0.1641755825
Bengaluru (Rural),Nelamangala,48.42,0.4998430621,26.70190753,0.9183105748,0.56,0.6995,0.240952558,0.2369372053
Vijayapura,Nidagundi,28.64,0.7041357995,87.94119914,0.6995076631,28.23,33.1125,0.1309979469,0.1364446259
Belagavi,Nippani,11.93,0.8767219724,39.04518982,0.8742090505,19.52,9.7279,0.0612430935,0.05820267035
Davanagere,Nyamati,2.43,0.9749121927,235.1585785,0.1735121721,8.14,5.0299,0.5096446784,0.511301079
Mandya,Pandavpura,7.16,0.9260805677,50.91126949,0.8318125316,4.76,1.3321,0.07936249917,0.08370754763
Tumakuru,Pavagada,14.06,0.8547839516,86.04555004,0.7062806602,5.50,7.0973,0.16386264,0.1546018902
Mysuru,Piriyapatna,7.16,0.9260805677,145.4759416,0.4939407983,9.89,4.4647,0.148879234,0.1498680248
Dakshina Kannada,Puttur,6.90,0.9287405921,47.54502513,0.8438398437,14.32,7.348,0.06046777346,0.06237837387
Bagalkot,Rabakavi_Banahatti,12.42,0.8717179083,22.030454,0.935001291,11.05,6.0723,0.1473574429,0.1491663516
Belagavi,Raibag,4.77,0.9507449397,62.97625947,0.7887053227,24.60,15.9986,0.06699203863,0.06515066455
Raichur,Raichur,18.91,0.8046502311,173.5342138,0.3936909182,13.56,17.2554,0.4210459334,0.4213354439
Belagavi,Ramadurg,5.68,0.9413541911,119.2162225,0.5877645975,18.01,8.7335,0.2635263886,0.2646975726
Ramanagara,Ramanagar,50.77,0.4755453612,32.86059426,0.8963060977,6.09,2.5391,0.260604666,0.261490179
Haveri,Ranebennur,7.46,0.9228889582,20.88185669,0.9391051339,12.31,10.2365,0.2074708977,0.2186363234
Haveri,Rattihalli,14.57,0.849473156,29.67000019,0.9077058258,19.45,8.6879,0.1780502078,0.1775921776
Gadag,Rona,60.15,0.3786536607,152.5353121,0.468718253,36.42,19.7294,0.3760668043,0.4025798711
Shivamogga,Sagara,1.73,0.9820801376,19.99888699,0.9422599114,11.24,3.7468,0.1237175326,0.133107886
Hassan,Sakleshpura,22.42,0.7684202401,43.69520441,0.8575949339,13.76,5.8151,0.04256348823,0.04781548702
Mysuru,Saraguru,7.16,0.9260805677,36.00516497,0.8850708073,14.75,7.5695,0.3577025412,0.3574046462
Belagavi,Savadatti,8.36,0.913607182,64.66861116,0.7826586905,19.06,8.3259,0.1384404743,0.1356510009
Haveri,Savanur,12.22,0.8737209698,61.406416,0.7943142433,35.13,16.5302,0.201905796,0.1935887457
Kalburgi,Sedam,14.67,0.8484390746,192.8008658,0.3248527677,19.70,14.8148,0.4444084416,0.4470123632
Yadgir,Shahapur,16.12,0.8334379485,82.8784643,0.7175963949,15.33,8.9055,0.1777864136,0.1877652052
Kalburgi,Shahbadha,9.64,0.9003866474,205.0809902,0.2809769015,9.62,6.1947,0.28436103,0.2918245786
Chikkaballapura,Shidlagatta,0.33,0.9966165295,58.72530712,0.803893623,2.13,0.6776,0.143440643,0.1454047177
Haveri,Shiggaon,34.58,0.642756683,70.20846584,0.762865249,29.07,14.7461,0.2409189155,0.2484401329
Shivamogga,shikaripura,3.47,0.9641602752,19.99888699,0.9422599114,8.82,5.9186,0.2902231881,0.2921887304
Shivamogga,shimoga,14.81,0.8470547031,109.0710522,0.6240124499,6.87,4.6445,0.234114078,0.2319353297
Gadag,Shirahatti,10.28,0.893794949,99.07338838,0.6597332739,9.76,14.9441,0.1518752236,0.1652496385
Yadgir,Shorapur,13.12,0.8645047982,241.7694695,0.1498920065,24.88,14.3155,0.5114837804,0.5096528161
Uttara Kannada,Siddapur,20.76,0.7855285123,15.95917854,0.9566934548,32.82,16.7293,0.01307978343,0.01867090107
Vijayapura,Sindagi,19.39,0.7997491559,42.85569202,0.8605944421,22.44,20.208,0.07336846532,0.07387051049
Raichur,Sindhanur,41.98,0.5663339568,14.8609917,0.9606171853,14.65,8.04,0.1697322038,0.1717577169
Tumakuru,Sira,13.40,0.8615329509,52.95955722,0.8244941694,7.56,6.3025,0.1094574829,0.1096266608
Ballari,Siraguppa,36.60,0.6218959295,89.99966829,0.6921529235,24.95,14.2771,0.1646287842,0.1663998702
